,0,1
1,AMR-to-Text生成,['文本生成']
2,AMR解析,['句法分析']
3,CT降噪,['图像去噪']
4,CT重建,['图像恢复']
5,sEMG重建,['场景重建']
6,SLAM优化,['图像增强']
7,阿尔兹海默症分类,['医学影像分割']
8,安全带检测,['目标检测']
9,安全帽检测,['目标检测']
10,安全帽佩戴检测,['目标检测']
11,安全状况评估,['决策分析']
12,靶区分割,['医学影像分割']
14,壁画分割,['图像分割']
15,壁画修复,['图像恢复']
16,边缘检测,['边缘检测']
17,变种分类,['图像分类']
18,标签分类,['文档分类']
19,标签完备,['图像配准']
20,标题生成,['文本生成']
21,标志识别,['图像识别']
22,表情识别,['面部表情识别']
23,表示学习,['知识表示']
25,并发症预测,['预测分析']
26,病害检测,['目标检测']
27,病害识别,['图像识别']
28,病灶分割,['医学影像分割']
30,步态识别,['动作识别']
31,草图检索,['图像识别']
32,草图生成,['图像生成']
33,草图识别,['图像识别']
34,测量,['移动测图']
35,层次分割,['句法分析']
36,产量预测,['预测分析']
37,场景分割,['实例分割']
38,场景分类,['图像分类']
39,场景文本擦除,['增强图像边缘']
40,场景预测,['场景重建']
41,超分辨率,['图像增强']
42,超分辨率分析,['图像增强']
43,超分辨率复原,['图像恢复']
44,超分辨率网络,['图像增强']
45,超分辨率重建,['图像恢复']
49,超声分类,['图像分类']
50,超声甲状腺分割,['医学影像分割']
51,车道线检测,['交通控制系统']
52,车辆检测,['图像检测']
53,车辆识别,['图像识别']
54,车辆重识别,['图像识别']
55,车牌定位,['图像识别']
56,车牌分割,['图像分割']
57,车牌识别,['图像识别']
58,车型识别,['图像识别']
59,城市交通信号控制,['交通控制系统']
60,船舶检测,['目标检测']
61,唇语识别,['语音识别']
62,词典构建,['词干提取']
63,词法分析,['句法分析']
64,词干提取,['词干提取']
65,答案选择,['问答系统']
66,答题求解,['知识图谱']
67,单词识别,['文本分割']
68,单字词检错,['句法分析']
69,导航,['决策分析']
70,道路提取,['语义分割']
71,地图构建,['场景重建']
72,地图重构,['场景重建']
73,地物提取,['语义分割']
74,低光增强,['图像增强']
75,点云补全,['图像增强']
76,点云分割,['图像分割']
77,点云分类,['图像分类']
78,点云分析,['决策分析']
79,点云配准,['图像配准']
81,点云修复技术,['图像恢复']
82,点云姿态迁移,['图像融合']
83,电池荷电状态预测,['预测分析']
84,电线识别,['图像识别']
85,调度优化,['决策分析']
86,跌倒检测,['动作识别']
87,订单量预测,['预测分析']
88,动态避障,['自动驾驶汽车']
89,动态识别,['动作识别']
90,动作定位,['动作识别']
91,动作识别,['动作识别']
92,动作预测,['动作识别']
93,短期电力负荷预测,['预测分析']
94,短语抽取,['信息抽取']
95,短语识别,['信息抽取']
96,短语提取,['词干提取']
97,对话任务,['问答系统']
98,对话生成,['问答系统']
99,对抗攻击防御,['决策分析']
100,对抗样本生成,['文本生成']
101,多标签分类,['文档分类']
102,多目标鲁棒优化设计,['最优化']
103,多目标优化,['最优化']
104,恶意代码分类,['文档分类']
105,恶意代码检测,['文档分类']
106,发病趋势预测,['预测分析']
107,发音偏误确认,['词义消歧']
108,法向估计,['姿势估计']
109,反讽识别,['情感分析']
110,方程快速求解,['几何变换']
111,方面词提取,['词干提取']
112,房价智能评估,['决策分析']
113,仿真生成,['图像生成']
114,肺结节分割,['医学影像分割']
115,肺结节检测,['目标检测']
116,肺裂分割,['医学影像分割'']
118,分词,['语义分割']
119,分割,['图像分割']
120,分类,['图像分类']
121,分类检测,['目标检测']
122,风格迁移,['图像融合']
123,风险评估,['决策分析']
124,服装变形预测,['预测分析']
125,服装检索,['文档分类']
126,辅助诊断,['决策分析']
127,负荷预测,['预测分析']
128,复合物识别,['命名实体识别']
129,改写检测,['目标检测']
130,钢液检测,['图像检测']
131,跟踪识别,['追踪识别']
132,公式识别,['图像识别']
133,功率预测,['预测分析']
134,购买力预测,['预测分析']
135,古壁画朝代识别,['图像识别']
136,古文断句,['句法分析']
137,股票趋势预测,['预测分析']
138,股票收益预测,['预测分析']
139,股市波动预测,['预测分析']
140,故事线抽取,['关系抽取']
141,故障采样,['图像检测']
142,故障检测,['图像检测']
143,故障识别,['图像识别']
145,故障诊断,['计算机视觉应用']
148,关键词提取,['词干提取']
149,关键点定位,['图像检测']
150,关键点检测,['图像检测']
151,关节点修复,['图像恢复']
152,关系抽取,['关系抽取']
153,关系分类,['文档分类']
154,关系分析,['句法分析']
155,关系识别,['关系抽取']
156,关系提取,['关系抽取']
157,关系体系转换,['关系抽取']
159,观点分析,['情感分析']
160,观点句识别,['句法分析']
161,光伏板积灰程度识别,['图像识别']
162,硅片刻蚀深度预测,['预测分析']
163,轨迹规划,['参数规划']
164,轨迹控制,['参数规划']
165,轨迹匹配,['参数规划']
166,轨迹预测,['参数规划']
167,轨迹预测 ,['参数规划']
168,哈希检索,['关系抽取']
169,海马体分割,['医学影像分割']
170,海洋锋检测,['目标检测']
171,害虫检测,['目标检测']
172,汉字生成,['文本生成']
173,汉字识别,['图像识别']
174,航迹规划,['参数规划']
175,航迹预测,['参数规划']
176,航路规划,['参数规划']
177,湖泊提取,['图像识别']
178,划痕识别,['图像识别']
179,画像合成,['图像生成']
180,话题分割,['句法分析']
181,话题检测与追踪,['追踪识别']
182,话题演化跟踪,['追踪识别']
183,灰尘检测,['图像检测']
184,回复检索,['文档分类']
185,回复生成,['问答系统']
186,活体检测,['图像检测']
187,火焰检测,['图像检测']
188,火灾识别,['动作识别']
189,机构名翻译,['机器翻译']
190,机器翻译,['机器翻译']
191,基因剪接位点识别,['医学影像分割']
192,基因型填补,['医学影像分割']
193,级联预测,['决策分析']
194,疾病预测,['决策分析']
195,甲状腺分割,['医学影像分割']
196,检测,['目标检测']
197,检索,['词干提取']
198,建筑检测,['图像检测']
199,交通标志检测,['图像检测']
200,交通流量预测,['预测分析']
201,交通流预测,['预测分析']
202,角色标注,['图像自动标注']
203,角色识别,['动作识别']
204,结构识别,['图像识别']
205,精细定位,['图像检测']
206,精细识别,['图像识别']
207,井下轨道检测,['图像检测']
208,颈缘线提取,['实例分割']
209,径流预报,['决策分析']
210,静脉识别,['图像识别']
211,句对抽取,['问答系统']
212,句法分析,['句法分析']
213,句类识别,['文档分类']
214,句子分割,['句法分析']
215,句子结构识别,['句法分析']
216,句子排序,['句法分析']
217,决策优化,['决策分析']
218,绝缘子检测,['边缘检测']
219,抗噪检测,['图像检测']
220,可视分析,['信息可视化']
221,可视化,['信息可视化']
222,客流预测,['预测分析']
223,空间数据不确定性重建,['计算机视觉应用']
224,口罩佩戴检测,['目标检测']
225,懒惰学习,['实体抽取']
226,类型判别,['实例分割']
227,立体匹配,['图像融合']
228,联合抽取,['信息抽取']
229,链路预测,['预测分析']
230,良恶性识别,['医学影像分割']
231,裂缝分割,['边缘检测']
232,裂缝检测,['边缘检测']
233,裂缝识别,['边缘检测']
234,裂痕检测,['边缘检测']
235,灵敏度预测,['预测分析']
236,零件识别,['图像识别']
237,流量分类,['图像分类']
238,流量检测,['图像检测']
239,流量预测,['预测分析']
240,流行度预测,['预测分析']
241,楼层定位,['图像识别']
242,漏洞检测,['图像检测']
243,漏油检测,['边缘检测']
244,颅面复原,['图像恢复']
245,路径规划,['路径问题']
246,路径收敛,['路径问题']
247,路径推荐,['路径问题']
248,路径优化,['路径问题']
249,路面裂缝检测,['边缘检测']
250,轮廓感知,['边缘检测']
251,盲去噪,['图像去噪']
252,牦牛脸识别,['人脸识别']
253,密度估计,['姿势估计']
254,密度聚类,['实例分割']
255,描述生成,['文本生成']
257,敏感信息检测,['文档分类']
258,命名实体识别,['命名实体识别']
259,模式识别,['计算机视觉']
260,模型分类,['文档分类']
261,目标分割,['实例分割']
262,目标跟踪,['追踪识别']
263,目标检测,['目标检测']
264,目标距离估计,['目标检测']
265,目标区域提取,['目标检测']
266,目标识别,['目标检测']
267,内容分发策略,['决策分析']
268,能耗优化,['增强图像边缘']
269,年龄估计,['姿势估计']
270,配准,['图像配准']
271,碰撞检测,['自动驾驶汽车']
272,疲劳驾驶检测,['自动驾驶汽车']
273,匹配打分,['问答系统']
274,篇章依存分析,['句法分析']
275,拼写检查,['句法分析']
276,欺诈检测,['文档分类']
277,气泡分割,['图像分割']
278,气温预测,['预测分析']
279,前景检测,['图像检测']
280,嵌入图像水印,['图像数字水印']
281,倾斜检测,['边缘检测']
282,倾斜校正,['移动测图']
283,情感词典构建,['自然语言处理']
284,情感分类,['文档分类']
285,情感分析,['情感分析']
286,情感分析,['情感分析']
287,情感检测,['图像检测']
288,情感识别,['面部表情识别']
289,区域分割,['图像分割']
290,去除遥感影像云雾,['图像去噪']
291,去吉布斯伪影,['图像去噪']
292,去模糊,['图像去噪']
293,去雾,['图像去噪']
294,全景分割,['图像分割']
295,缺陷分类,['图像分类']
296,缺陷检测,['边缘检测']
297,缺陷识别,['图像识别']
298,缺陷预测,['预测分析']
299,群组活动识别,['动作识别']
300,扰动推理,['关系抽取']
301,人脸动画,['人脸识别']
302,人脸检测,['人脸识别']
303,人脸识别,['人脸识别']
304,人脸替换,['人脸识别']
305,人脸重建,['图像恢复']
306,人名识别,['命名实体识别']
307,人群计数,['情感分析']
308,人群检测,['图像检测']
309,人体重建,['图像恢复']
310,人体姿态估计,['姿势估计']
311,人体姿态迁移,['面部表情识别']
312,人物识别,['人脸识别']
313,人像分割,['图像分割']
314,人像修复,['图像恢复']
315,任务分配,['文档分类']
316,任务型对话,['问答系统']
317,乳腺癌灶分割,['医学影像分割']
318,入侵检测,['图像检测']
319,三维重建,['场景重建']
320,三元组抽取,['实体抽取']
321,色彩优化,['图像增强']
322,沙尘暴预测,['遥感']
323,伤损检测,['图像检测']
324,商品分类,['图像分类']
325,深度估计,['姿势估计']
326,深度鲁棒水印,['图像数字水印']
327,深度图匹配,['图像配准']
328,深度伪造高效检测,['图像检测']
329,生产调度,['决策分析']
330,生成式对话,['问答系统']
331,生成式摘要,['文本生成']
332,声音识别,['语音识别']
333,剩余寿命预测,['预测分析']
334,时间序列分类,['时间序列模型']
335,时间序列去噪,['时间序列模型']
336,时间序列修复,['时间序列模型']
337,时序数据预测,['时间序列模型']
338,实时分割,['实例分割']
339,实时跟踪,['追踪识别']
340,实时检测,['图像检测']
341,实体分类,['实体抽取']
342,实体关系抽取,['关系抽取']
343,实体关系联合抽取,['实体抽取']
344,实体链接,['关系抽取']
345,实体识别,['实体抽取']
346,实体属性补全,['属性抽取']
347,实体消歧,['共指消歧']
349,事故预警,['文档分类']
350,事件抽取,['信息抽取']
351,事件分拨,['文档分类']
352,事件分类,['文档分类']
354,事件聚类,['文档分类']
355,事件论元抽取,['关系抽取']
356,事件识别,['命名实体识别']
357,事件预测,['决策分析']
358,视觉跟踪,['追踪识别']
359,视觉故事生成,['图像生成']
360,视觉问答,['问答系统']
361,视觉追踪,['追踪识别']
362,视频翻译,['视频技术']
363,视频合成,['视频技术']
364,视频生成,['视频技术']
365,视频推荐,['视频技术']
366,视频修复,['视频技术']
367,视频隐写,['视频技术']
368,视频预测,['视频技术']
369,视频着色,['视频技术']
370,视频帧预测,['视频技术']
371,视频追踪,['追踪识别']
372,视图特征提取,['图像生成']
373,释义生成,['文本生成']
374,手势交互,['动作识别']
375,手势识别,['动作识别']
376,手写签名鉴别,['图像识别']
377,手语识别,['图像识别']
378,寿命预测,['预测分析']
379,输油管道泄漏检测,['交通控制系统']
380,属性抽取,['属性抽取']
381,属性对齐,['属性抽取']
382,属性识别,['属性抽取']
383,术语标准化,['语义分割']
384,术语归一化,['语义分割']
385,树图布局,['图像分割']
386,数据共享,['文档分类']
387,数据生成,['图像生成']
388,数据增强,['图像增强']
389,水岸线检测,['边缘检测']
390,水位线检测,['边缘检测']
391,损害检测,['图像检测']
393,特征表达,['知识表示']
394,特征匹配,['知识表示']
395,特征识别,['知识表示']
396,特征提取,['知识表示']
397,特征选择,['模型选择']
398,停车泊位预测,['预测分析']
399,同指消解,['共指消解']
400,突发事件研判,['决策分析']
401,图片识别,['图像识别']
402,图书书脊分割,['语义分割']
403,图像标注,['图像自动标注']
404,图像采样,['图像获取']
405,图像彩色化,['颜色处理']
406,图像场景分类,['图像分类']
407,图像场景识别,['图像识别']
408,图像篡改取证,['图像获取']
409,图像的分割,['图像分割']
410,图像定位,['图像检测']
411,图像发布,['图像融合']
412,图像分割,['图像分割']
413,图像分类,['图像分类']
414,图像分组融合,['图像融合']
415,图像风格迁移,['增强图像边缘']
416,图像复原,['图像恢复']
417,图像检测,['图像检测']
418,图像检索,['图像检测']
419,图像建筑物分割,['图像分割']
420,图像解混,['图像配准']
421,图像聚类,['图像分类']
422,图像快速分类,['图像分类']
423,图像盲去模糊,['图像去噪']
424,图像描述生成,['文本生成']
425,图像内容中文描述,['文本生成']
426,图像配准,['图像配准']
427,图像拼接,['图像融合']
428,图像平滑,['图像去噪']
429,图像去斑,['图像去噪']
430,图像去模糊,['图像去噪']
431,图像去雾,['图像去噪']
432,图像去噪,['图像去噪']
433,图像全色锐化,['颜色处理']
434,图像融合,['图像融合']
435,图像三维重建,['图像恢复']
436,图像深度估计,['摄影测量学']
437,图像生成,['图像生成']
438,图像识别,['图像识别']
439,图像实例风格迁移,['图像融合']
440,图像双重盲降噪,['图像去噪']
441,图像文字去除,['图像数字水印']
442,图像稀疏重建,['图像恢复']
443,图像修复,['图像恢复']
444,图像压缩,['图像压缩']
445,图像阴影去除,['图像增强']
446,图像噪声去除,['图像去噪']
447,图像增强,['图像增强']
448,图像着色,['颜色处理']
449,图像质量评价,['计算机视觉']
450,图像中文描述,['文本生成']
451,图像重建,['图像恢复']
452,图像左心室分割,['医学影像分割']
453,推荐,['决策分析']
454,吞吐量预测,['预测分析']
455,椭圆检测,['边缘检测']
456,网页正文提取,['文档分类']
457,网站流量分析,['决策分析']
458,危险品检测,['图像检测']
459,违规评论识别,['文档分类']
460,违章量预测,['预测分析']
461,伪影去除,['图像恢复']
462,卫星图像污水处理厂识别,['图像识别']
464,位姿估计,['姿势估计']
465,胃癌分割,['医学影像分割']
466,文本表征,['知识表示']
467,文本分割,['文本分割']
468,文本分类,['文档分类']
469,文本风格转换,['情感分析']
470,文本共情预测,['情感分析']
471,文本规则挖掘,['句法分析']
472,文本检索,['文档分类']
473,文本匹配,['问答系统']
474,文本生成图像,['图像生成']
475,文本识别,['自然语言处理']
476,文本挖掘,['文本分割']
477,文本作者识别,['命名实体识别']
478,文档分类,['文档分类']
479,文档获取,['自然语言处理']
480,文字检测,['自然语言处理']
481,问答,['问答系统']
482,问答模型,['问答系统']
483,问答配对,['问答系统']
484,问答匹配,['问答系统']
485,问答研究,['问答系统']
486,问句分类,['问答系统']
487,问句识别,['问答系统']
488,问题的解答,['问答系统']
489,问题生成,['问答系统']
490,物体检测,['图像检测']
491,物体识别,['图像识别']
492,雾图去雾,['图像去噪']
493,息肉分割,['医学影像分割']
494,稀疏重建,['场景重建']
495,瑕疵检测,['边缘检测']
496,显著性检测,['图像检测']
497,线画图检索,['图像自动标注']
498,腺体细胞分割,['医学影像分割']
499,相关性分析,['句法分析']
500,相似度计算,['自然语言处理']
501,小麦不完善粒识别,['生成式预训练模型']
502,小阵语音增强,['语音技术']
503,协同训练,['生成式预训练模型']
504,新冠肺炎轻重症诊断,['医学影像分割']
505,新闻自动生成,['文本生成']
506,新型学习,['运筹学']
507,信号增广,['图像增强']
508,信息抽取,['信息抽取']
509,信息检测,['自然语言处理']
510,信息隐藏方案,['信息抽取']
511,行人检测,['目标检测']
512,行人检索,['目标检测']
513,行人属性识别,['动作识别']
514,行人细粒度检测,['目标检测']
515,行人再识别,['计算机视觉']
517,行为检测,['动作识别']
518,行为识别,['动作识别']
519,兴趣点提取,['词干提取']
520,姓名消歧,['共指消歧']
522,虚词识别,['命名实体识别']
523,虚假评论检测,['文档分类']
524,虚假评论识别,['文档分类']
525,虚拟视点绘制,['图像生成']
526,需求预测,['预测分析']
527,序列标注,['自然语言处理']
528,序列推荐,['句法分析']
529,选址规划,['决策分析']
530,学生成绩预测,['预测分析']
531,血管分割,['医学影像分割']
532,血管提取,['医学影像分割']
533,血细胞检测,['医学影像分割']
534,烟雾检测,['图像检测']
535,烟雾浓度测量,['摄影测量学']
536,烟雾识别,['图像识别']
537,延误预测,['预测分析']
538,样本分类,['文档分类']
539,谣言检测,['文档分类']
540,遥感图像道路提取,['遥感']
541,要素识别,['命名实体识别']
542,医疗问答,['问答系统']
543,仪表识别,['图像识别']
544,胰腺分割,['医学影像分割']
545,遗留物检测,['图像检测']
546,异常检测,['图像检测']
547,异常事件检测,['图像检测']
548,意图分类,['文档分类']
549,意图识别,['文档分类']
550,阴影检测,['图像检测']
551,音频隐写检测,['图像检测']
552,银行卡号识别,['图像识别']
553,引导滤波,['图像生成']
554,引文意图分类,['文档分类']
555,隐私保护,['图像检测']
556,影像分割,['图像分割']
557,影像分类,['图像分类']
558,影像海岛岸线分割,['语义分割']
559,影像厚云去除,['图像去噪']
560,影像重建,['场景重建']
561,语法错误检测,['语音算法']
562,语法纠错,['词义消歧']
563,语句标注,['自然语言处理']
564,语料库构建,['自然语言处理']
565,语义表征,['语义分割']
566,语义分割,['语义分割']
567,语义识别,['情感分析']
569,语义相似度计算,['自然语言处理']
570,语音分类,['语音技术']
571,语音分离,['语音技术']
572,语音合成,['语音合成']
573,语音识别,['语音识别']
574,语音增强,['语音技术']
575,预训练语言建模,['生成式预训练模型']
577,原因识别,['自然语言处理']
578,阅读理解,['自然语言处理']
579,云数据牙齿分割,['医学影像分割']
580,云团分割,['语义分割']
581,云资源预测,['预测分析']
582,运动规划,['参数规划']
583,运动控制,['参数规划']
584,运输规划,['参数规划']
585,噪声过滤,['图像去噪']
586,噪声滤除,['图像去噪']
587,炸点检测,['目标检测']
588,摘要生成,['文本生成']
590,长期跟踪,['追踪识别']
591,掌纹识别,['指纹识别']
592,障碍物检测,['边缘检测']
593,真值发现,['实体抽取']
594,诊断与分割,['医学影像分割']
595,政策识别,['自然语言处理']
596,知识表示,['知识表示']
597,知识提取,['信息抽取']
598,知识图谱补全,['知识图谱']
599,知识图谱嵌入,['知识图谱']
600,知识图谱推理,['知识图谱']
601,知识推理,['知识加工']
602,知识问答,['问答系统']
603,指代消解,['共指消解']
604,指纹定位,['指纹识别']
605,指纹防伪,['指纹识别']
606,指纹分类,['指纹识别']
607,质量估计,['姿势估计']
608,质量检测,['目标检测']
609,质量评估,['目标检测']
610,智能导诊,['动作识别']
611,智能识别,['语音识别']
612,中文分词,['自然语言处理']
613,肿瘤分割,['医学影像分割']
616,注视点估计,['姿势估计']
617,注视点预测,['预测分析']
618,专利分类,['文档分类']
620,状态识别,['姿势估计']
621,姿势检测,['姿势估计']
622,姿态补全,['姿势估计']
623,姿态分类,['姿势估计']
624,姿态估计,['姿势估计']
625,姿态检测,['姿势估计']
626,资源分配,['决策分析']
627,资源负载预测,['预测分析']
630,自动答题,['问答系统']
631,自动断句,['句法分析']
632,自动分割,['文本分割']
633,自动分类,['文档分类']
634,自动驾驶,['自动驾驶汽车']
635,自动驾驶运动规划,['自动驾驶汽车']
636,自动检测,['图像检测']
641,自动文摘,['文本生成']
642,自动写作,['文本生成']
643,自动摘要,['文本生成']
644,自然语言推理,['自然语言处理']
645,字符识别,['图像识别']
646,字体生成,['文本生成']
647,字形表征,['句法分析']
648,左心室分割,['医学影像分割']
649,实例分割,['实例分割']
650,图像去雨,['图像去噪']
